price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,neworold,Furnished_status,Lift,type_of_building,Price_sqft,Address_Encoded
4700000.0,1085.0,28.646509,77.3814882767311,2.0,2.0,2.0,Resale,no data,1.0,Flat,4331.797235023041,8722527.631129177
8500000.0,1790.0,28.512136,76.986899,3.0,3.0,2.0,Resale,no data,1.0,Flat,4748.603351955308,8615627.670992233
12400000.0,1650.0,28.6016822982437,77.0319327881991,3.0,2.0,2.0,Resale,no data,0.0,Flat,7515.151515151515,8288299.143918592
7700000.0,1685.0,28.5092080113141,77.4066255380327,3.0,4.0,4.0,Resale,Unfurnished,1.0,Flat,4569.73293768546,7052149.571959296
6000000.0,1050.0,28.648794,77.3425322478785,2.0,2.0,2.0,Resale,no data,1.0,Flat,5714.285714285715,8211164.378029079
6380000.0,1170.0,28.495893478393555,77.18599700927734,3.0,2.0,1.0,New Property,Semi-Furnished,1.0,Flat,5452.991452991453,8330828.756058158
7400000.0,1275.0,28.28709602355957,77.06906127929688,2.0,2.0,2.0,New Property,Semi-Furnished,1.0,Flat,5803.921568627451,8277473.344103392
8400000.0,1890.0,28.410466,76.962531,3.0,3.0,4.0,Resale,no data,1.0,Flat,4444.444444444444,8393002.745921498
6400000.0,1455.0,28.570142,77.3862730013034,3.0,2.0,3.0,Resale,no data,1.0,Individual House,4398.625429553264,7860712.028293437
4300000.0,1295.0,28.566914,77.436434,2.0,2.0,4.0,Resale,no data,1.0,Individual House,3320.4633204633205,8277473.344103392
10500000.0,1850.0,28.548787,77.346032,3.0,4.0,2.0,Resale,no data,1.0,Flat,5675.675675675676,8212974.812261361
10800000.0,1966.0,28.247592,77.069185,2.0,2.0,1.0,Resale,no data,1.0,Flat,5493.387589013225,8288299.143918592
4320000.0,1040.0,28.509118,77.413416,2.0,2.0,3.0,New Property,no data,1.0,Flat,4153.846153846154,7663511.574098669
3000000.0,800.0,28.6452824,77.3621025,2.0,2.0,1.0,Resale,Semi-Furnished,0.0,Flat,3750.0,8330828.756058158
3500000.0,950.0,28.579593,77.445197,2.0,2.0,3.0,Resale,no data,1.0,Flat,3684.2105263157896,7668240.711813219
16000000.0,2000.0,28.4178669,77.0512457,4.0,4.0,3.0,Resale,Semi-Furnished,1.0,Flat,8000.0,8277473.344103392
3000000.0,900.0,28.685449,77.5092258,2.0,2.0,3.0,Resale,no data,1.0,Individual House,3333.333333333333,7720202.755586595
3300000.0,960.0,28.5128413669417,77.4895533166212,2.0,2.0,1.0,Resale,no data,1.0,Flat,3437.5,8330828.756058158
8200000.0,1371.0,28.433653,77.152919,2.0,2.0,3.0,New Property,no data,1.0,Flat,5981.035740335522,8393002.745921498
6000000.0,1750.0,28.475274,77.545978,3.0,3.0,1.0,Resale,no data,1.0,Flat,3428.5714285714284,8277473.344103392
4100000.0,1299.0,28.519997,77.376873,3.0,2.0,4.0,Resale,no data,1.0,Flat,3156.2740569668977,7543043.2367484365
5200000.0,1365.0,28.60595893859864,77.44451141357422,3.0,2.0,3.0,Resale,Furnished,1.0,Flat,3809.5238095238096,8288299.143918592
2650000.0,835.0,28.609898,77.436343,2.0,2.0,2.0,Resale,Unfurnished,1.0,Flat,3173.6526946107783,8330828.756058158
4500000.0,1000.0,28.63472366333008,77.04911041259766,3.0,2.0,1.0,Resale,Semi-Furnished,1.0,Flat,4500.0,8277473.344103392
6900000.0,1260.0,28.58548927307129,77.3993148803711,2.0,2.0,3.0,Resale,Unfurnished,1.0,Flat,5476.190476190476,8313562.197092084
4500000.0,1198.0,28.633363723754883,77.43121337890625,3.0,2.0,1.0,Resale,Furnished,1.0,Flat,3756.260434056762,8330828.756058158
11000000.0,1743.0,28.419032,77.028272,3.0,3.0,2.0,New Property,no data,1.0,Individual House,6310.9581181870335,8730608.227905188
3200000.0,650.0,28.59803581237793,77.07652282714844,2.0,2.0,1.0,Resale,Unfurnished,1.0,Flat,4923.076923076923,8330828.756058158
3200000.0,815.0,28.446343,77.515305,2.0,2.0,2.0,Resale,no data,1.0,Flat,3926.38036809816,8330828.756058158
11100000.000000002,2100.0,28.468477249145508,77.31389617919922,4.0,3.0,2.0,Resale,Furnished,1.0,Flat,5285.714285714286,8090445.769708214
3500000.0,900.0,28.6809994,77.356998,2.0,2.0,1.0,Resale,Unfurnished,1.0,Flat,3888.8888888888887,7460139.506220912
12500000.0,1836.0,28.414627,77.060127,3.0,3.0,3.0,Resale,no data,1.0,Flat,6808.278867102396,8277473.344103392
8500000.0,1495.0,28.502597,77.428742,3.0,2.0,2.0,Resale,no data,1.0,Flat,5685.61872909699,8330828.756058158
4200000.0,1040.0,28.616204,77.422256,2.0,2.0,2.0,Resale,no data,1.0,Flat,4038.4615384615386,6895061.137058344
9000000.0,1250.0,28.6401587513384,77.066265900795,2.0,2.0,2.0,Resale,no data,1.0,Individual House,7200.0,8330828.756058158
8900000.0,1815.0,28.45251307,76.97627035,3.0,3.0,2.0,Resale,no data,1.0,Flat,4903.581267217631,8102225.999263485
15000000.0,2000.0,28.412109,77.049522,4.0,4.0,3.0,Resale,no data,0.0,Flat,7500.0,8330828.756058158
9200000.0,1960.0,28.393665,76.962842,3.0,3.0,3.0,Resale,no data,1.0,Individual House,4693.877551020408,8330828.756058158
11500000.0,1963.0,28.406752,76.96474017,3.0,3.0,3.0,Resale,no data,1.0,Flat,5858.380030565461,8277473.344103392
6000000.0,1246.0,28.5863287948209,77.4010620206905,2.0,2.0,3.0,Resale,no data,1.0,Individual House,4815.409309791332,8313562.197092084
3900000.0,1085.0,28.473679,77.506258,2.0,2.0,3.0,Resale,no data,1.0,Flat,3594.470046082949,8313562.197092084
3600000.0,995.0,28.606945,77.455578568448,2.0,2.0,3.0,Resale,no data,1.0,Individual House,3618.0904522613055,8393002.745921498
7500000.0,1260.0,28.3824895,76.9823169,2.0,2.0,2.0,New Property,no data,1.0,Individual House,5952.380952380952,8648089.622776346
17200000.0,2025.0,28.5858422747995,77.0606247868441,3.0,2.0,4.0,Resale,no data,1.0,Flat,8493.827160493827,8277473.344103392
5500000.0,1150.0,28.497455596923828,77.02713775634766,3.0,2.0,1.0,Resale,Semi-Furnished,1.0,Flat,4782.608695652174,8313562.197092084
13000000.0,2300.0,28.655845642089844,77.36822509765625,4.0,4.0,3.0,Resale,Unfurnished,1.0,Flat,5652.173913043478,8313562.197092084
9900000.0,1760.0,28.407361,76.93426176,3.0,2.0,4.0,Resale,no data,1.0,Flat,5625.0,8277473.344103392
5150000.0,1234.0,28.500621,77.424203,2.0,2.0,2.0,Resale,no data,1.0,Flat,4173.419773095624,7948216.505024793
2630000.0,750.0,28.39244079589844,77.34424591064453,3.0,2.0,2.0,New Property,Unfurnished,1.0,Flat,3506.6666666666665,8288299.143918592
4600000.0,1000.0,28.618239,77.054361,3.0,2.0,2.0,New Property,no data,1.0,Flat,4600.0,7347289.138105808
7500000.0,1390.0,28.548787,77.346032,3.0,2.0,3.0,Resale,no data,1.0,Flat,5395.6834532374105,8288299.143918592
7000000.0,1326.0,28.397731,77.036526,3.0,3.0,3.0,Resale,no data,1.0,Flat,5279.034690799396,8432211.790157596
5800000.0,1270.0,28.524543,77.364765,3.0,3.0,2.0,Resale,no data,1.0,Flat,4566.929133858268,8027568.1826060265
5200000.0,1175.0,28.500621,77.424203,2.0,2.0,2.0,Resale,no data,1.0,Individual House,4425.531914893617,7359845.0736033935
3200000.0,800.0,28.5201861,77.179158,2.0,2.0,1.0,New Property,Unfurnished,1.0,Flat,4000.0,8288299.143918592
8500000.0,1100.0,28.6288025,77.0958556,2.0,2.0,2.0,Resale,Furnished,1.0,Flat,7727.272727272727,8288299.143918592
6709999.999999999,1180.0,28.65493,77.350989,2.0,2.0,2.0,Resale,no data,1.0,Flat,5686.440677966101,8301792.121678595
16900000.0,1935.0,28.45451736450196,77.08187103271484,3.0,4.0,2.0,Resale,Semi-Furnished,1.0,Flat,8733.850129198967,8393002.745921498
12500000.0,1800.0,28.576661,77.339673,3.0,3.0,2.0,Resale,no data,1.0,Flat,6944.444444444444,8288299.143918592
5000000.0,1200.0,28.577634811401367,77.39510345458984,3.0,2.0,3.0,Resale,Unfurnished,1.0,Flat,4166.666666666667,8330828.756058158
2700000.0,770.0,28.497467041015625,77.027099609375,2.0,2.0,1.0,Resale,Semi-Furnished,1.0,Flat,3506.493506493506,8288299.143918592
7500000.0,1675.0,28.446568,76.968477,3.0,3.0,2.0,Resale,no data,1.0,Flat,4477.611940298508,8262220.7837738115
4100000.0,1000.0,28.503955,77.384451,2.0,2.0,2.0,Resale,no data,1.0,Flat,4100.0,8313562.197092084
3790000.0,1310.0,28.646836,77.508238,2.0,3.0,2.0,New Property,no data,0.0,Flat,2893.1297709923665,8313562.197092084
5200000.0,1065.0,28.63350296020508,77.43159484863281,2.0,2.0,3.0,Resale,Semi-Furnished,1.0,Flat,4882.629107981221,8393002.745921498
12500000.0,1830.0,28.385432,77.017122,3.0,3.0,3.0,Resale,no data,1.0,Flat,6830.601092896175,8673549.630469881
10500000.0,1821.0,28.37561513,76.95761609,3.0,3.0,3.0,Resale,no data,1.0,Individual House,5766.062602965404,8966385.591139672
3600000.0,750.0,28.4826489,77.1600563,2.0,2.0,2.0,Resale,Semi-Furnished,1.0,Flat,4800.0,8393002.745921498
4500000.0,1250.0,28.68176651000977,77.36365509033203,3.0,2.0,1.0,New Property,Unfurnished,1.0,Flat,3600.0,8393002.745921498
5500000.0,1375.0,28.616204,77.422256,3.0,3.0,3.0,Resale,no data,1.0,Flat,4000.0,8330828.756058158
7400000.0,1530.0,28.655782,77.3527833,3.0,2.0,3.0,Resale,no data,1.0,Flat,4836.601307189542,7538893.8242487805
4100000.0,1200.0,28.69149398803711,77.40766906738281,3.0,2.0,2.0,Resale,Furnished,1.0,Flat,3416.6666666666665,8313562.197092084
3250000.0,1050.0,28.7001920400432,77.427474,2.0,2.0,2.0,Resale,no data,1.0,Individual House,3095.2380952380954,7567633.05474803
5500000.0,1100.0,28.4088605,77.314687,2.0,2.0,2.0,Resale,no data,1.0,Flat,5000.0,8393002.745921498
9000000.0,1815.0,28.455376,76.97621181,3.0,3.0,3.0,Resale,no data,1.0,Individual House,4958.677685950413,8227293.189890387
9900000.0,1650.0,28.481460571289062,77.31151580810547,4.0,3.0,2.0,Resale,Semi-Furnished,1.0,Flat,6000.0,8288299.143918592
8500000.0,1460.0,28.63822364807129,77.3663558959961,3.0,3.0,3.0,Resale,Semi-Furnished,1.0,Flat,5821.917808219178,8077944.66942329
5890000.0,1150.0,28.6467399597168,77.3709487915039,3.0,2.0,2.0,New Property,Semi-Furnished,1.0,Flat,5121.739130434783,8393002.745921498
9000000.0,1800.0,28.646093,77.384003,3.0,2.0,2.0,Resale,no data,1.0,Flat,5000.0,7847218.703767266
12000000.0,1850.0,28.548787,77.346032,3.0,4.0,4.0,Resale,no data,1.0,Flat,6486.486486486487,8231492.730262037
6400000.0,1390.0,28.56118695507,77.3865691983336,3.0,3.0,3.0,Resale,no data,1.0,Flat,4604.3165467625895,8330828.756058158
10000000.0,1908.0,28.4913752,77.2908548,4.0,3.0,1.0,Resale,no data,1.0,Individual House,5241.090146750524,8330828.756058158
8500000.0,1550.0,28.5784405855563,77.3814075289833,3.0,2.0,3.0,Resale,no data,1.0,Flat,5483.870967741936,8433037.658611843
7400000.0,1480.0,28.495486,77.25219,3.0,3.0,2.0,Resale,no data,1.0,Individual House,5000.0,8081652.8095031865
4300000.0,968.0,28.6493479,77.3696259,3.0,2.0,1.0,Resale,Unfurnished,1.0,Flat,4442.148760330579,8330828.756058158
5800000.0,1150.0,28.499248504638672,77.42980194091797,2.0,2.0,2.0,Resale,Unfurnished,1.0,Flat,5043.478260869565,8313562.197092084
9000000.0,1750.0,28.283682,77.047379,3.0,3.0,2.0,Resale,Unfurnished,1.0,Flat,5142.857142857143,8185390.937230747
3500000.0,800.0,28.63477325439453,77.0490951538086,3.0,2.0,1.0,New Property,Unfurnished,1.0,Flat,4375.0,8313562.197092084
12500000.0,1700.0,28.5775127933567,77.042535339585,2.0,2.0,3.0,Resale,no data,1.0,Flat,7352.941176470588,9135174.129786173
6200000.0,1210.0,28.5604873040921,77.384084,2.0,3.0,3.0,Resale,no data,1.0,Flat,5123.966942148761,8330828.756058158
2550000.0,540.0,28.49748611450196,77.02713012695312,2.0,2.0,1.0,Resale,Semi-Furnished,1.0,Flat,4722.222222222223,8277473.344103392
6000000.0,1100.0,28.67613220214844,77.28523254394531,2.0,2.0,1.0,Resale,Furnished,1.0,Flat,5454.545454545455,8330828.756058158
11000000.0,1610.0,28.513139,77.025952,3.0,3.0,3.0,Resale,no data,1.0,Flat,6832.298136645963,8313562.197092084
